seed,Team/Year,AdjTempo,AdjOE,AdjDE,AdjEM,OppeFGPct,OppTOPct,OppORPct,OppFTRate,eFGPct,TOPct,ORPct,FTRate
5.0,2003 Wisconsin,61.8275,114.658,92.2715,22.3863,47.8806,21.7457,28.7849,24.4776,52.1474,16.507,32.0197,35.9257
3.0,2003 Xavier,68.1862,114.503,93.665,20.8379,46.1207,19.5918,32.4109,22.5659,50.2372,18.2917,39.2936,40.7486
11.0,2004 Air Force,52.0301,111.859,95.7219,16.1376,48.6498,29.5165,37.5088,37.8059,58.1826,18.8931,24.5335,37.1711
8.0,2004 Alabama,64.999,113.39,96.9288,16.4613,48.1808,19.4908,32.9956,33.6273,51.3714,18.9299,33.3796,40.6857
16.0,2004 Alabama St.,61.5326,93.281,103.971,-10.6902,46.6154,23.1085,33.6162,38.8308,47.6989,25.9724,36.4095,45.4306
9.0,2004 Arizona,73.5393,117.959,101.339,16.6199,50.306,20.1613,34.32,27.486,54.257,19.4146,38.5841,33.5397
12.0,2004 BYU,66.4998,111.734,95.3868,16.3472,51.0653,21.5107,26.9317,35.8076,53.9601,20.7021,33.9074,43.2507
6.0,2004 Boston College,63.1579,110.115,95.5084,14.6068,45.5973,20.8682,35.7459,27.3944,49.1101,20.4145,38.9516,44.6607
9.0,2004 Charlotte,70.0671,112.766,98.11,14.6558,47.2467,21.189,32.8179,32.8745,51.4127,20.641,38.3202,44.2105
4.0,2004 Cincinnati,67.1173,115.74,91.8837,23.8562,45.0273,23.1052,30.833,40.752,52.2059,17.5168,36.9714,37.963
2.0,2004 Connecticut,68.4832,116.176,90.3272,25.8489,41.4668,16.6521,31.4798,24.8201,53.2043,19.3663,41.6056,34.4569
10.0,2004 Dayton,62.4162,108.6,98.8232,9.7763,46.8866,16.0129,29.351,29.8031,50.5724,21.2722,37.6884,41.0418
7.0,2004 DePaul,63.3915,113.921,102.109,11.8121,48.3836,18.1078,32.7601,32.1096,51.2607,19.9186,37.7979,38.4527
1.0,2004 Duke,67.6352,120.027,88.299,31.7279,44.7332,24.2539,36.8286,31.9722,53.2176,19.3801,39.0293,41.2037
13.0,2004 East Tennessee St.,73.587,103.458,95.3316,8.12644,47.3067,25.0696,34.4123,26.2933,50.948,20.723,32.5771,36.5114
15.0,2004 Eastern Washington,64.715,105.382,101.954,3.42788,52.0861,23.151,32.3188,40.0,53.0423,22.1311,30.0397,39.2196
5.0,2004 Florida,66.1367,117.63,97.7056,19.9244,47.4916,19.0583,33.0882,36.9008,55.4683,21.062,31.1735,35.7184
16.0,2004 Florida A&M,71.1206,97.7465,108.479,-10.7325,51.4013,25.0102,36.432,45.1233,49.055,22.8223,32.2246,42.8571
3.0,2004 Georgia Tech,69.8395,114.16,89.3063,24.8537,43.7163,22.7116,34.843,40.7989,52.5305,20.8613,32.8814,38.2738
2.0,2004 Gonzaga,66.7071,121.485,94.7555,26.7299,44.4444,18.1417,30.3398,28.3598,56.4909,19.1625,38.1687,41.0431
5.0,2004 Illinois,64.2481,115.417,96.2329,19.1845,47.1143,21.5307,33.2294,35.8286,52.7909,18.0354,36.8084,30.0685
13.0,2004 Illinois Chicago,64.6261,107.751,96.8741,10.8768,49.5184,24.717,33.1285,34.3769,49.4713,19.024,37.9201,38.9538
4.0,2004 Kansas,69.4727,110.65,92.4539,18.1966,44.3455,19.6714,32.7472,35.8115,51.5963,20.7276,34.6588,39.4481
